,procurement_id,original_value,agreement_type_code,commodity_type_code,commodity_code,limited_tendering_reason_code,document_type_code,reporting_period,owner_org_title,abbreviation,Federal Entity,Abbreviation,NAFTA,CCFTA,CCoFTA,CHFTA,CPaFTA,CPFTA,CKFTA,CUFTA,WTO-AGP,CETA,CPTPP
4,3000549710,282500.0,CCFTA,Services,G199,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,3000551662,320920.0,CCFTA,Services,T002,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
23,3000598932,111983.0,CCFTA,Services,U008,71,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
35,7100000500,508500.0,CCFTA,Services,R010,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
44,7100000495,976320.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
53,7100000492,949200.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
62,3000617907,227000.0,CCFTA,Services,T002,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
72,7100000514,248600.0,CCFTA,Services,R019,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
81,7100000525,307668.94,CCFTA,Services,R010,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90,7100000526,239298.07,CCFTA,Services,R010,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
99,7100000527,136741.75,CCFTA,Services,R010,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
111,7200001352,49147.1,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
120,7200001363,129300.25,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
129,20171555A,92208.0,CCFTA,Goods,7030,71,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
138,3000638332,406900.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
150,20170707A,1058845.82,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
159,7200001464,40607.54,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
169,3000644334,962760.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
178,3000645214,1000000.28,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
189,3000646709,678000.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
197,7200001488,10867.5,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
209,3000651910,857670.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
219,3000653626,749700.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
228,3000655499,113000.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
237,3000657091,1399279.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
249,20180991A,732601.22,CCFTA,Services,D317,71,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
262,20180665A,66924.27,CCFTA,Goods,4700,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
272,3000660120,1405720.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
280,7200001599,167160.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
290,3000665364,452000.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
306,3000667334,248600.0,CCFTA,Services,V401,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
316,7200001622,111870.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
325,7200001624,79800.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
335,3000666632,455133.17,CCFTA,Services,B109,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
354,3000669763,169500.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
