commodity_code,gsin-description_en,gsin-description_fr,Commodity Type
5112B,Demolition Work,Travaux de démolition,Construction                                                    
5113B,Rock Blasting Services,Services de dynamitage du roc,Construction                                                    
5114C,Excavating and Earthmoving Work,Excavation et terrassement,Construction                                                    
5116A,Scaffolding Work,Échafaudage,Construction                                                    
5121A,Construction of One and Two Dwelling Buildings,Construction d'un et deux édifices à logements,Construction                                                    
5122A,Construction of Multi-Dwelling Buildings,Construction des édifices à logements multiples,Construction                                                    
5123B,Construction of Warehouses and Industrial Buildings,Construction d'entrepôts et de bâtiments industriels,Construction                                                    
5124B,Construction of Commercial Buildings,Construction d'édifices commerciaux,Construction                                                    
5127B,Construction of Educational Buildings,Construction de bâtiments scolaires,Construction                                                    
5128B,Construction of Health Buildings,Construction d'établissements de conditionnement physique,Construction                                                    
5129B,Construction of Other Buildings,Construction d'autres édifices,Construction                                                    
5131BB,Paving Contractor Services (except mud jacking),Services d'entrepreneur en pavage (sauf  injection de boue),Construction                                                    
5131BG,Oil Road Spreading Services,Services de répandage d'huile sur les routes,Construction                                                    
5131BI,Asphalt and Joint Sealing Services,Services de scellement pour asphalte et joints,Construction                                                    
5131C,"Highways, Roads, Railways,  Airfield Runways","Autoroutes, rues, routes, voies ferrées, pistes d'aéroport",Construction                                                    
5132A,"Bridges, Elevated Highways, Tunnels, Subways and Railroads","Ponts, autoroutes surélevées, tunnels, viaducs et voies ferrées",Construction                                                    
5133B,Irrigation and Flood Control,Irrigation et contrôle des inondations,Construction                                                    
5133C,"Waterways, Harbours, Dams and Other Water Works","Voies de navigation, ports, barrages et autres adductions d'eau",Construction                                                    
5133D,Sewers/ Drainage,Égouts / Drainage,Construction                                                    
5134A,Power Distribution and Transmission Lines,Distribution et transmission de l'électricité,Construction                                                    
5134B,Pipeline Construction,Construction de pipe-lines,Construction                                                    
5136A,Construction for Mining and Manufacturing,Construction pour l'exploitation minière et la fabrication,Construction                                                    
5138A,Dredging,Dragage,Construction                                                    
5138B,Dredging Services - Land Based,Services de dragage - base terrestre,Construction                                                    
5138C,Dredging Services - Floating Plant,Services de dragage - installation flottante,Construction                                                    
5139A,"Construction Services, Not Elsewhere Specified","Services de construction, non énumérés ailleurs",Construction                                                    
5139B,"Engineering Works, Not Elsewhere Specified","Travaux d'ingénierie, non énumérés ailleurs",Construction                                                    
5139C,General Heavy Construction,Grands travaux généraux,Construction                                                    
5139D,General Marine Construction Work,Travaux généraux de construction maritime,Construction                                                    
5141A,"Prefabricated Constructions, Supply and Erection",Constructions préfabriquées - fourniture et érection,Construction                                                    
5151A,Foundation Work,Travaux d'excavation,Construction                                                    
5151B,Pile Driving,Enforcement de pieux,Construction                                                    
5152A,WATER WELL DRILLING,FORAGE DE PUITS D EAU,Construction                                                    
5152AA,Water Well Services,Services de creusage de puits,Construction                                                    
5152B,Water Well Drilling,Forage de puits d'eau,Construction                                                    
5153A,"Roofing, Siding and Sheet Metal Installation Services","Services d'installation - couvertures, parements et tôlerie",Construction                                                    
5153AB,"Roofing, Asphalt and Shingle Services",Services - couvertures d'asphalte et de bardeaux,Construction                                                    
5153AE,Building Sheet Metal Services,Services - tôlerie de bâtiment,Construction                                                    
5153AF,Eavestroughing Services,Services - gouttières,Construction                                                    
5153AG,Industrial Waterproofing Membrane Systems (Roofing),Systèmes de membrane d'imperméabilisation industriels (couvertures),Construction                                                    
5153B,Roofing and Waterproofing,Travaux de couverture et d'imperméabilisation,Construction                                                    
5153BA,Building Waterproofing Services,Services d'imperméabilisation d'immeuble,Construction                                                    
5154A,Concrete Work,Travaux de bétonnage,Construction                                                    
5154AB,Concrete Cutting and Coring Services,Service de carottage et de découpage d'ouvrages en béton,Construction                                                    
5154C,Paving - Parking Areas,Pavage - parcs de stationnement,Construction                                                    
5155B,Steel Bending and Erection,Pliage et montage d'éléments en acier,Construction                                                    
5155C,Structural Steel Work,Ouvrages de construction en acier,Construction                                                    
5155D,Welding for Construction,Soudage pour la construction,Construction                                                    
5155E,Welding Contractor Services,Services d'entrepreneurs en soudure,Construction                                                    
5156A,"Masonry, Stonework","Ouvrages de maçonnerie, ouvrages de pierre",Construction                                                    
5156B,Masonry Work,Travaux de maçonnerie,Construction                                                    
5159A,"Rock, Stone Crushing Services",Services de concassage de roc et de pierre,Construction                                                    
5159B,Other Special Trade Construction Work,Travaux de construction d'autres corps de métiers,Construction                                                    
5159C,Chimney Repair Services,Services de réparation de cheminées,Construction                                                    
5159E,Smokestack Services,Services cheminées,Construction                                                    
5161A,Heating (except electric heating) and Air Conditioning,Chauffage (sauf le chauffage électrique) et climatisation,Construction                                                    
5161AC,Heating Contractor Services (except electrical heating),Services d'entrepreneur en chauffage (sauf le chauffage électrique),Construction                                                    
5161AE,Air Conditioning Contractor Services,Services d'entrepreneurs en climatisation,Construction                                                    
5161AF,Ventilating Services Contractors,Entrepreneurs en services de ventilation,Construction                                                    
5161AJ,"Boilers, Repair and Cleaning Services",Services de réparation et de nettoyage des chaudières,Construction                                                    
5161AK,"Pipe Insulations, Contractors","Isolation de tuyaux, entrepreneurs",Construction                                                    
5161AN,Boilers - Installation and Repair,"Chaudières, installation et réparation",Construction                                                    
5161AP,Ductwork - Repair and Cleaning Services,Services de réparation et de nettoyage de gaines de ventilation,Construction                                                    
5161B,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services","Services d'inspection et d'entretien des unités de chauffage, ventilation et de climatisation",Construction                                                    
5161C,Air Distribution Systems - Installation and Repair,Systèmes de distribution d'air - installation et réparation,Construction                                                    
5161D,BACS - Building Automation Control Systems,SACI - Système d'automatisation et de contrôle des immeubles,Construction                                                    
