,Original Value,Trade Agreement Code,Commodity Type,Country of Origin,Limited Tendering Reason,Exemption,Year,Entity,Entities Rule,Limited Tendering Rule,Thresholds Rule,Commodity Rule,Exemptions Rule,Commodity
14,18480.0,WTO-AGP,Services,CA,0,0,2018,CGC,No,Yes,No,Yes,Yes,"Human Resource Services, Business Consulting/Change Management; Project Management Services"
34,105857.5,WTO-AGP,Services,CA,0,0,2019,DND,Yes,Yes,No,No,Yes,Snow Plowing and Removal
43,19694.95,NAFTA,Goods,CA,85,0,2017,GAC,Yes,Unknown,No,Yes,Yes,Office Furniture
66,64030.66,NAFTA,Services,CA,0,0,2018,CBSA,Yes,Yes,No,No,Yes,Services of Individuals - Except Consultants
71,32724.8,WTO-AGP,Goods,CA,87,0,2018,CEO,Yes,Unknown,No,Yes,Yes,Miscellaneous Items
86,158482.5,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
110,231476.32,NAFTA,Services,CA,0,0,2019,PSC,Yes,Yes,Yes,No,Yes,"Information Retrieval Services, Database"
116,21470.0,WTO-AGP,Services,CA,0,0,2017,CBSA,Yes,Yes,No,No,Yes,Business Training
118,24557.5,NAFTA,Services,CA,85,0,2017,DND,Yes,Unknown,No,Yes,Yes,"Human Resource Services, Business Consulting/Change Management; Project Management Services"
128,53675.0,CETA,Services,CA,0,0,2018,ATSSC,Yes,Yes,No,Yes,Yes,Informatics Professional Services
153,10660.1,CFTA,Services,CA,0,0,2017,CRA,Unknown,Yes,No,Yes,Yes,Flat Printing  / Loose leaf Printing
171,58172.4,WTO-AGP,Services,CA,0,0,2018,CAS,Yes,Yes,No,Yes,Yes,Informatics Professional Services
179,15803.97,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
182,14865.88,WTO-AGP,Goods,CA,0,3,2018,CRA,Yes,Yes,No,Yes,Unknown,Communications Security Equipment and Components
187,14895.66,CFTA,Construction,CA,0,0,2018,DND,Unknown,Yes,No,Unknown,Yes,"Building/Installation Special Trade Services, Not Elsewhere Specified"
200,15024.93,NAFTA,Goods,US,0,1,2018,DND,Yes,Yes,No,Yes,Unknown,Hose and Flexible Tubing
217,11120.0,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Bakery and Cereal Products (replaced by gsin N8920Z)
222,121464.34,WTO-AGP,Services,CA,0,0,2017,PCO,Yes,Yes,No,Yes,Yes,Informatics Professional Services
223,12552.86,CFTA,Services,CA,87,0,2019,CSC,Unknown,Unknown,No,Yes,Yes,Commercial Security Guard and Related Services
225,141407.75,WTO-AGP,Services,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,Consulting Services
233,61189.5,WTO-AGP,Services,CA,0,0,2017,CBSA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
246,64410.0,WTO-AGP,Services,CA,0,0,2019,ATSSC,Yes,Yes,No,Yes,Yes,Informatics Professional Services
254,22048.56,WTO-AGP,Goods,CA,0,0,2017,HC,Yes,Yes,No,Yes,Yes,Office Furniture
264,71457.42,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,No,Yes,Services of Individuals - Except Consultants
326,35185.98,WTO-AGP,Goods,CA,0,0,2019,CSC,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
