,Original Value,Amendment Value,Commodity Type,Country of Origin,Limited Tendering Reason,Exemption,Year,Entity,Entities Rule,Limited Tendering Rule,thresholds,Commodity Rule,Exemptions Rule,Estimated Trade Coverage,Commodity
20,1300000.0,0.0,Services,CA,00,00,2018,DND,Yes,Yes,Yes,No,Yes,No,Training and Curriculum Development
32,24338.16,0.0,Goods,US,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,Power and Hand Pumps
50,16091.27,0.0,Services,CA,00,00,2019,CBSA,Yes,Yes,No,No,Yes,No,Commercial Security Guard and Related Services
51,56952.0,0.0,Goods,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,ADP Software
105,51254.95,0.0,Services,CA,87,00,2019,CSC,Unknown,Unknown,No,Yes,Yes,No,Commercial Security Guard and Related Services
108,14102.4,0.0,Services,CA,87,00,2019,CSC,Unknown,Unknown,No,Yes,Yes,No,Commercial Security Guard and Related Services
125,574875.0,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,Yes,No,Yes,No,"TRUCKS AND TRUCK TRACTORS, WHEELED - RENTAL"
127,24003.02,0.0,Services,CA,87,00,2017,DND,Unknown,Unknown,No,Yes,Yes,No,"Maintenance, Repair, Modification, Rebuilding & Installation of Equipment related to Ships"
132,65850.75,37629.0,Services,CA,00,00,2018,CNSC,Yes,Yes,No,No,Yes,No,General Office Help
134,158482.5,212722.5,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
135,36419.9,0.0,Services,CA,00,00,2019,CBSA,Unknown,Yes,No,Yes,Yes,No,Commercial Security Guard and Related Services
153,11326.31,0.0,Goods,CA,71,00,2018,CSC,Yes,Unknown,No,Yes,Yes,No,"Hospital Furniture, Equipment, Utensils and Supplies"
164,26219.55,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Passenger Motor Vehicles
219,77608.13,222476.62,Services,CA,00,00,2017,ESDC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
226,51484.61,0.0,Services,CA,00,00,2019,CSC,Yes,Yes,No,No,Yes,No,Harassment (Investigative Services)
244,28250.0,0.0,Services,CA,00,00,2017,VAC,Unknown,Yes,No,Yes,Yes,No,Press Service
268,18882.87,0.0,Services,CA,00,00,2017,CSC,Unknown,Yes,No,Unknown,Yes,No,Services of Individuals - Except Consultants
277,13687.13,4025.63,Services,CA,00,00,2019,CBSA,Yes,Yes,No,Yes,Yes,No,Harassment (Investigative Services)
291,44824.28,0.0,Services,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
294,3574.27,11545.73,Services,CA,87,00,2019,CSC,Unknown,Unknown,No,Yes,Yes,No,Commercial Security Guard and Related Services
300,17203.5,0.0,Services,CA,85,00,2017,CBSA,Yes,Unknown,No,No,Yes,No,Language Training Services
304,96021.75,-31510.05,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
311,22753.55,0.0,Services,CA,00,00,2017,CSC,Yes,Yes,No,No,Yes,No,Services of Individuals - Except Consultants
340,11300.0,0.0,Services,CA,00,00,2017,CSC,Unknown,Yes,No,Yes,Yes,No,Translation Services
355,24144.75,0.0,Services,CA,00,00,2017,CSC,Yes,Yes,No,Yes,Yes,No,Refrigeration and Air Conditioning Components - Repair
386,46090.28,0.0,Services,CA,00,00,2018,VAC,Unknown,Yes,No,Unknown,Yes,No,Grounds Maintenance
387,2235780.55,0.0,Services,CA,00,00,2017,DND,Yes,Yes,Yes,No,Yes,No,"Product/Material - Design, Development, Formulation, Modification: Science and Technology Related (R&D)"
402,114409.96,0.0,Services,CA,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,"Human Resource Services, Business Consulting/Change Management; Project Management Services"
405,127464.0,-44928.8,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
407,59444.0,452904.0,Services,CA,00,00,2018,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
413,98648.55,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
433,134752.5,22600.0,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
446,15144.51,0.0,Services,CA,00,00,2017,CSC,Unknown,Yes,No,Unknown,Yes,No,Services of Individuals - Except Consultants
475,4901.43,6343.03,Services,CA,00,00,2017,VAC,Yes,Yes,No,No,Yes,No,General Office Help
500,13074.39,0.0,Services,US,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,"Fittings and Specialties, Hose, Pipe and Tube - Repair"
504,146329.35,-69192.15,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
514,14400.0,5520.0,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Language Training Services
