,commodity_code,NAFTA,CCFTA,CCoFTA,CHFTA,CPaFTA,CPFTA,CKFTA,WTO-AGP,CETA,CPTPP,Type,CUFTA
0,5112B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
1,5113B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
2,5114C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
3,5116A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
4,5121A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
5,5122A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
6,5123B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
7,5124B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
8,5127B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
9,5128B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
10,5129B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
11,5131BB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
12,5131BG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
13,5131BI,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
14,5131C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
15,5132A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
16,5133B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
17,5133C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
18,5133D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
19,5134A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
20,5134B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
21,5136A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
22,5138A,No 1,No 1,No 1,No 1,No 1,No 1,No 1,No 1,Yes 2,No 1,Construction,No 1
23,5138B,No 1,No 1,No 1,No 1,No 1,No 1,No 1,No 1,Yes 2,No 1,Construction,No 1
24,5138C,No 1,No 1,No 1,No 1,No 1,No 1,No 1,No 1,Yes 2,No 1,Construction,No 1
25,5139A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
26,5139B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
27,5139C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
28,5139D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
29,5141A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
30,5151A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
31,5151B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
32,5152A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
33,5152AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
34,5152B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
35,5153A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
36,5153AB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
37,5153AE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
38,5153AF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
39,5153AG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
40,5153B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
41,5153BA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
42,5154A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
43,5154AB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
44,5154C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
45,5155B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
46,5155C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
47,5155D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
48,5155E,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
49,5156A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
50,5156B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
51,5159A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
52,5159B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
53,5159C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
54,5159E,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
55,5161A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
56,5161AC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
57,5161AE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
58,5161AF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
59,5161AJ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
60,5161AK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
61,5161AN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
62,5161AP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
63,5161B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
64,5161C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
65,5161D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
66,5162A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
67,5162B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
68,5162C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
69,5162D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction,Yes
