,Federal Entity,Abbreviation,NAFTA,CCFTA,CCoFTA,CHFTA,CPaFTA,CPFTA,CKFTA,CUFTA,WTO-AGP,CETA,CPTPP
0,Administrative Tribunals Support Service of Canada 1,ATSSC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Atlantic Canada Opportunities Agency,ACOA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Canada Border Services Agency,CBSA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3,Canada Emission Reduction Incentives Agency,CERIA,No,No,No,No,No,No,No,No,No,Yes,Yes
4,Canada Employment Insurance Commission,CEIC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,Canada Revenue Agency ,CRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6,Canada School of Public Service ,CSPS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Canadian Centre for Occupational Health and Safety ,CCOHS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,Canadian Environmental Assessment Agency,CEAA,No,No,No,No,No,No,No,No,No,Yes,Yes
9,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Canadian Grain Commission,CGC,No,No,No,No,No,No,No,No,No,Yes,Yes
11,Canadian High Arctic Research Station,CHARS,No,No,No,No,No,No,No,No,No,Yes,Yes
12,Canadian Human Rights Commission,CHRC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Canadian Institutes of Health Research ,CIHR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Canadian Intergovernmental Conference Secretariat ,CICS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Canadian Northern Economic Development Agency ,CanNor,No,No,No,No,No,No,No,No,No,Yes,Yes
16,Canadian Nuclear Safety Commission,CNSC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,Canadian Radio-Television and Telecommunications Commission,CRTC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,Canadian Transportation Accident Investigation and Safety Board,CTAISB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,Canadian Security Intelligence Service ,CSIS,No,No,No,No,No,No,No,No,No,No,No
20,Canadian Space Agency ,CSA,No,No,No,No,No,No,No,No,No,Yes ,No
21,Canadian Transportation Agency ,CTA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
