Federal Entity,Abbreviation,NAFTA,CCFTA,CCoFTA,CHFTA,CPaFTA,CPFTA,CKFTA,CUFTA,WTO-AGP,CETA,CPTPP
Administrative Tribunals Support Service of Canada 1,ATSSC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Atlantic Canada Opportunities Agency,ACOA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Canada Border Services Agency,CBSA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Canada Emission Reduction Incentives Agency,CERIA,No,No,No,No,No,No,No,No,No,Yes,Yes
Canada Employment Insurance Commission,CEIC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Canada Revenue Agency ,CRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Canada School of Public Service ,CSPS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Canadian Centre for Occupational Health and Safety ,CCOHS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Canadian Environmental Assessment Agency,CEAA,No,No,No,No,No,No,No,No,No,Yes,Yes
Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Canadian Grain Commission,CGC,No,No,No,No,No,No,No,No,No,Yes,Yes
Canadian High Arctic Research Station,CHARS,No,No,No,No,No,No,No,No,No,Yes,Yes
Canadian Human Rights Commission,CHRC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Canadian Institutes of Health Research ,CIHR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Canadian Intergovernmental Conference Secretariat ,CICS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Canadian Northern Economic Development Agency ,CanNor,No,No,No,No,No,No,No,No,No,Yes,Yes
Canadian Nuclear Safety Commission,CNSC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Canadian Radio-Television and Telecommunications Commission,CRTC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Canadian Transportation Accident Investigation and Safety Board,CTAISB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Canadian Security Intelligence Service ,CSIS,No,No,No,No,No,No,No,No,No,No,No
Canadian Space Agency ,CSA,No,No,No,No,No,No,No,No,No,Yes ,No
Canadian Transportation Agency ,CTA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Civilian Review and Complaints Commission for the RCMP  ,CRCC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Communications Security Establishment,CSE,No,No,No,No,No,No,No,No,No,No,No
Copyright Board ,CB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Correctional Service of Canada,CSC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
