commodity_code,NAFTA,CCFTA,CCoFTA,CHFTA,CPaFTA,CPFTA,CKFTA,WTO-AGP,CETA,CPTPP,Type
5112B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5113B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5114C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5116A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5121A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5122A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5123B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5124B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5127B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5128B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5129B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5131BB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5131BG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5131BI,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5131C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5132A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5133B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5133C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5133D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5134A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5134B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5136A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5138A,No 1,No 1,No 1,No 1,No 1,No 1,No 1,No 1,Yes 2,No 1,Construction
5138B,No 1,No 1,No 1,No 1,No 1,No 1,No 1,No 1,Yes 2,No 1,Construction
5138C,No 1,No 1,No 1,No 1,No 1,No 1,No 1,No 1,Yes 2,No 1,Construction
5139A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5139B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5139C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5139D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5141A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5151A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5151B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5152A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5152AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5152B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5153A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5153AB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5153AE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5153AF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5153AG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5153B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5153BA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5154A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5154AB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5154C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5155B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5155C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5155D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5155E,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5156A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5156B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5159A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5159B,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5159C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5159E,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
5161A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Construction
