,0
0,AAFC
1,INAC
2,ACOA
3,ATSSC
4,CanNor
5,CAS
6,CBSA
7,CCOHS
8,CED
9,CER
10,CFIA
11,CGC
12,CHRC
13,IRCC
14,CICS
15,CIHR
16,CNSC
17,CRCC
18,CRA
19,CRTC
20,CSA
21,CSC
22,CSPS
23,CTA
24,GAC
25,DFO
26,DND
27,ECCC
28,CEO
29,ESDC
30,FCAC
31,FedDev Ontario
32,FIN
33,FINTRAC
34,FJA
35,FPCC
36,HC
37,none
38,ISED
39,INFC
40,IRB
41,ISC
42,JUS
43,LAC
44,MGERC
45,MPCC
46,NFB
47,NRCan
48,NRC
49,NSERC
50,OAG
51,OCI
52,OCL
53,OCOL
54,OIC
55,OPC
56,OSFI
57,OSGG
58,PBC
59,PC
60,PCH
61,PCO
62,PHAC
63,PMPRB
64,PPSC
65,PSC
66,PSIC
67,PS
68,PSPC
69,RCMP
70,SIRC
71,SSC
72,SSHRC
73,StatCan
74,SWC
75,TBS
76,TC
77,TSB
78,VAC
79,VRAB
80,WD
